index,event,date,team,opponent,team-rank,opponent-ranking,result,team_map_wr,team_average_age
875,Thunderpick World Championship 2023,2023-11-04,cloud9,faze,7,1,L,54.333333333333336,25.4
876,CBCS 2023 Season 3,2023-11-04,pain,red canids,14,-1,W,69.66666666666667,22.0
877,Thunderpick World Championship 2023,2023-11-04,heroic,virtus.pro,11,9,L,58.166666666666664,24.2
878,MESA Pro Series Fall 2023,2023-11-04,themongolz,atox,16,-1,W,71.33333333333333,19.6
879,Thunderpick World Championship 2023,2023-11-03,faze,mouz,1,6,W,55.714285714285715,26.6
880,Thunderpick World Championship 2023,2023-11-03,cloud9,big,7,-1,W,54.333333333333336,25.4
881,Thunderpick World Championship 2023,2023-11-03,spirit,monte,3,22,L,74.16666666666667,21.3
882,Game Arena Cup Season 1,2023-11-03,oddik,pain,-1,14,L,40.833333333333336,25.2
883,Copa BetBoom 2023,2023-11-02,sharks,pain,-1,14,W,52.0,23.0
884,CBCS 2023 Season 3,2023-11-02,legacy,bestia,24,-1,W,52.285714285714285,23.7
885,Roobet Cup 2023,2023-11-02,monte,virtus.pro,22,9,L,43.5,21.3
886,Copa BetBoom 2023,2023-11-02,imperial,oddik,19,-1,L,70.66666666666667,24.0
887,Copa BetBoom 2023,2023-11-02,boca juniors,pain,-1,14,L,70.66666666666667,24.0
888,Game Arena Cup Season 1,2023-11-01,imperial,pain,19,14,L,70.66666666666667,24.0
889,ESL Challenger League Season 46 Europe,2023-11-01,movistar riders,ikla,-1,-1,W,57.833333333333336,25.7
890,Roobet Cup 2023,2023-11-01,furia,virtus.pro,15,9,L,60.166666666666664,27.1
891,ESL Challenger League Season 46 Europe,2023-11-01,spirit,saw,3,17,W,74.16666666666667,21.3
892,Roobet Cup 2023,2023-11-01,aurora,monte,28,22,L,68.5,22.4
893,ESL Challenger League Season 46 Europe,2023-11-01,apeks,sinners,20,-1,W,39.166666666666664,25.7
894,Copa BetBoom 2023,2023-11-01,imperial,bestia,19,-1,L,70.66666666666667,24.0
895,Game Arena Cup Season 1,2023-11-01,pain,legacy,14,24,W,69.66666666666667,22.0
896,Game Arena Cup Season 1,2023-10-31,imperial,flamengo,19,-1,W,70.66666666666667,24.0
897,Thunderpick World Championship 2023,2023-10-31,furia,big,15,-1,L,60.166666666666664,27.1
898,ESL Challenger League Season 46 Europe,2023-10-31,monte,forze,22,-1,W,43.5,21.3
899,ESL Challenger League Season 46 Europe,2023-10-31,apeks,aurora,20,28,L,39.166666666666664,25.7
900,Roobet Cup 2023,2023-10-31,virtus.pro,og,9,-1,W,65.5,24.3
901,Thunderpick World Championship 2023,2023-10-31,complexity,mouz,13,6,L,41.0,24.6
902,Roobet Cup 2023,2023-10-31,furia,apeks,15,20,W,60.166666666666664,27.1
903,Thunderpick World Championship 2023,2023-10-31,heroic,big,11,-1,W,58.166666666666664,24.2
