index,event,date,team,opponent,team-rank,opponent-ranking,result,team_map_wr,team_average_age
248,PGL CS2 Major Copenhagen 2024 Asia RMR,2024-02-26,themongolz,grayhound,16,-1,W,71.33333333333333,19.6
249,PGL CS2 Major Copenhagen 2024 Asia RMR,2024-02-26,themongolz,mag,16,-1,W,71.33333333333333,19.6
250,RES Regional Series 1 LATAM,2024-02-25,imperial,fluxo,19,-1,L,70.66666666666667,24.0
251,RES Regional Series 1 LATAM,2024-02-24,imperial,bestia,19,-1,W,70.66666666666667,24.0
252,PGL CS2 Major Copenhagen 2024 Europe Last Chance Qualifier,2024-02-24,9 pandas,gamerlegion,23,21,W,51.857142857142854,26.0
253,ESL Challenger League Season 47 South America,2024-02-24,imperial,mibr,19,27,W,70.66666666666667,24.0
254,ESL Challenger League Season 47 South America,2024-02-24,mibr,imperial,27,19,L,64.66666666666667,23.5
255,PGL CS2 Major Copenhagen 2024 Europe Last Chance Qualifier,2024-02-24,guild eagles,gamerlegion,-1,21,L,42.0,26.5
256,IEM Dallas 2024 South America Closed Qualifier,2024-02-24,furia,9z,15,-1,L,60.166666666666664,27.1
257,PGL CS2 Major Copenhagen 2024 Europe Last Chance Qualifier,2024-02-23,fnatic,gamerlegion,-1,21,L,51.714285714285715,24.6
258,PGL CS2 Major Copenhagen 2024 Europe Last Chance Qualifier,2024-02-23,betboom,guild eagles,30,-1,L,53.0,22.0
259,PGL CS2 Major Copenhagen 2024 Europe Last Chance Qualifier,2024-02-23,9 pandas,astralis,23,25,W,51.857142857142854,26.0
260,IEM Dallas 2024 South America Closed Qualifier,2024-02-23,imperial,bestia,19,-1,L,70.66666666666667,24.0
261,IEM Dallas 2024 South America Closed Qualifier,2024-02-23,furia,9z,15,-1,W,60.166666666666664,27.1
262,IEM Dallas 2024 South America Closed Qualifier,2024-02-22,furia,imperial,15,19,W,60.166666666666664,27.1
263,PGL CS2 Major Copenhagen 2024 Europe RMR B,2024-02-22,heroic,gamerlegion,11,21,W,58.166666666666664,24.2
264,PGL CS2 Major Copenhagen 2024 Europe RMR B,2024-02-22,ecstatic,guild eagles,18,-1,W,63.833333333333336,23.4
265,PGL CS2 Major Copenhagen 2024 Europe RMR B,2024-02-22,ence,astralis,12,25,W,50.5,25.6
266,ESL Challenger League Season 47 South America,2024-02-22,2game,imperial,-1,19,L,22.166666666666668,26.2
267,ESL Challenger League Season 47 South America,2024-02-22,imperial,2game,19,-1,W,70.66666666666667,24.0
268,PGL CS2 Major Copenhagen 2024 Europe RMR B,2024-02-21,spirit,heroic,3,11,W,74.16666666666667,21.3
269,PGL CS2 Major Copenhagen 2024 Europe RMR B,2024-02-21,vitality,ence,4,12,W,59.0,24.9
270,PGL CS2 Major Copenhagen 2024 Europe RMR B,2024-02-21,og,gamerlegion,-1,21,L,52.333333333333336,22.0
271,RES Regional Series 1 LATAM,2024-02-21,imperial,la rugoneta,19,-1,W,70.66666666666667,24.0
272,PGL CS2 Major Copenhagen 2024 Europe RMR B,2024-02-21,apeks,ecstatic,20,18,W,39.166666666666664,25.7
273,PGL CS2 Major Copenhagen 2024 Europe RMR B,2024-02-21,monte,astralis,22,25,L,43.5,21.3
274,PGL CS2 Major Copenhagen 2024 Europe RMR B,2024-02-20,spirit,mouz,3,6,L,74.16666666666667,21.3
275,PGL CS2 Major Copenhagen 2024 Europe RMR B,2024-02-20,vitality,cloud9,4,7,L,59.0,24.9
276,PGL CS2 Major Copenhagen 2024 Europe RMR B,2024-02-20,gamerlegion,ence,21,12,L,33.57142857142857,22.9
277,PGL CS2 Major Copenhagen 2024 Europe RMR B,2024-02-20,astralis,heroic,25,11,L,60.333333333333336,22.6
278,PGL CS2 Major Copenhagen 2024 Europe RMR B,2024-02-20,ecstatic,og,18,-1,W,63.833333333333336,23.4
279,PGL CS2 Major Copenhagen 2024 Europe RMR B,2024-02-20,apeks,monte,20,22,W,39.166666666666664,25.7
280,PGL CS2 Major Copenhagen 2024 Europe RMR B,2024-02-19,spirit,astralis,3,25,W,74.16666666666667,21.3
281,PGL CS2 Major Copenhagen 2024 Europe RMR B,2024-02-19,vitality,heroic,4,11,W,59.0,24.9
282,PGL CS2 Major Copenhagen 2024 Europe RMR B,2024-02-19,cloud9,apeks,7,20,W,54.333333333333336,25.4
283,PGL CS2 Major Copenhagen 2024 Europe RMR B,2024-02-19,mouz,ecstatic,6,18,W,57.5,20.5
284,PGL CS2 Major Copenhagen 2024 Europe RMR B,2024-02-19,monte,nexus,22,-1,W,43.5,21.3
285,PGL CS2 Major Copenhagen 2024 Europe RMR B,2024-02-19,guild eagles,ence,-1,12,L,42.0,26.5
286,PGL CS2 Major Copenhagen 2024 Europe RMR B,2024-02-19,gamerlegion,pera,21,-1,W,33.57142857142857,22.9
287,PGL CS2 Major Copenhagen 2024 Europe RMR B,2024-02-19,preasy,heroic,-1,11,L,1,20.6
288,PGL CS2 Major Copenhagen 2024 Europe RMR B,2024-02-19,astralis,nexus,25,-1,W,60.333333333333336,22.6
289,PGL CS2 Major Copenhagen 2024 Europe RMR B,2024-02-19,cloud9,pera,7,-1,W,54.333333333333336,25.4
290,PGL CS2 Major Copenhagen 2024 Europe RMR B,2024-02-19,apeks,og,20,-1,W,39.166666666666664,25.7
291,PGL CS2 Major Copenhagen 2024 Europe RMR B,2024-02-19,monte,ecstatic,22,18,L,43.5,21.3
292,PGL CS2 Major Copenhagen 2024 Europe RMR B,2024-02-19,spirit,ence,3,12,W,74.16666666666667,21.3
293,PGL CS2 Major Copenhagen 2024 Europe RMR B,2024-02-19,mouz,guild eagles,6,-1,W,57.5,20.5
294,PGL CS2 Major Copenhagen 2024 Europe RMR B,2024-02-19,vitality,gamerlegion,4,21,W,59.0,24.9
295,RES Eastern European Masters Spring 2024 - BLAST Premier Qualifier,2024-02-18,aurora,monte,28,22,L,68.5,22.4
296,RES Eastern European Masters Spring 2024 - BLAST Premier Qualifier,2024-02-18,sinners,monte,-1,22,L,53.5,25.6
297,RES Regional Series 1 LATAM,2024-02-17,imperial,adalyamigos,19,-1,W,70.66666666666667,24.0
298,PGL CS2 Major Copenhagen 2024 Europe RMR A,2024-02-17,eternal fire,betboom,8,30,W,59.0,26.5
299,RES Eastern European Masters Spring 2024 - BLAST Premier Qualifier,2024-02-17,monte,aurora,22,28,W,43.5,21.3
300,PGL CS2 Major Copenhagen 2024 Europe RMR A,2024-02-17,fnatic,saw,-1,17,L,51.714285714285715,24.6
301,RES Eastern European Masters Spring 2024 - BLAST Premier Qualifier,2024-02-17,monte,the chosen few,22,-1,W,43.5,21.3
302,PGL CS2 Major Copenhagen 2024 Europe RMR A,2024-02-17,9 pandas,amkal,23,-1,L,51.857142857142854,26.0
303,A1 Gaming League Season 8,2024-02-17,metizport,ex-anonymo,29,-1,L,51.857142857142854,20.7
304,PGL CS2 Major Copenhagen 2024 Europe RMR A,2024-02-16,natus vincere,betboom,2,30,W,67.66666666666667,23.4
305,ESL Challenger League Season 47 South America,2024-02-16,galorys,imperial,-1,19,L,44.166666666666664,22.3
306,PGL CS2 Major Copenhagen 2024 Europe RMR A,2024-02-16,enterprise,saw,-1,17,L,36.0,22.8
307,ESL Challenger League Season 47 South America,2024-02-16,imperial,galorys,19,-1,W,70.66666666666667,24.0
308,PGL CS2 Major Copenhagen 2024 Europe RMR A,2024-02-16,9 pandas,3dmax,23,-1,W,51.857142857142854,26.0
309,PGL CS2 Major Copenhagen 2024 Europe RMR A,2024-02-16,faze,eternal fire,1,8,W,55.714285714285715,26.6
310,PGL CS2 Major Copenhagen 2024 Europe RMR A,2024-02-16,amkal,falcons,-1,10,W,59.0,22.7
311,PGL CS2 Major Copenhagen 2024 Europe RMR A,2024-02-16,fnatic,koi,-1,26,L,51.714285714285715,24.6
312,IEM Dallas 2024 South America Open Qualifier 1,2024-02-16,9z,imperial,-1,19,L,61.5,22.6
313,IEM Dallas 2024 South America Open Qualifier 1,2024-02-16,imperial,fluxo,19,-1,W,70.66666666666667,24.0
314,IEM Dallas 2024 South America Open Qualifier 1,2024-02-15,imperial,solid,19,-1,W,70.66666666666667,24.0
315,PGL CS2 Major Copenhagen 2024 Europe RMR A,2024-02-15,virtus.pro,natus vincere,9,2,W,65.5,24.3
316,PGL CS2 Major Copenhagen 2024 Europe RMR A,2024-02-15,saw,ninjas in pyjamas,17,-1,W,70.0,26.1
317,PGL CS2 Major Copenhagen 2024 Europe RMR A,2024-02-15,faze,g2,1,5,L,55.714285714285715,26.6
318,PGL CS2 Major Copenhagen 2024 Europe RMR A,2024-02-15,enterprise,betboom,-1,30,L,36.0,22.8
319,PGL CS2 Major Copenhagen 2024 Europe RMR A,2024-02-15,9 pandas,koi,23,26,L,51.857142857142854,26.0
320,PGL CS2 Major Copenhagen 2024 Europe RMR A,2024-02-15,eternal fire,falcons,8,10,W,59.0,26.5
321,IEM Dallas 2024 South America Open Qualifier 1,2024-02-15,imperial,yawara,19,-1,W,70.66666666666667,24.0
322,PGL CS2 Major Copenhagen 2024 Europe RMR A,2024-02-14,natus vincere,enterprise,2,-1,W,67.66666666666667,23.4
323,PGL CS2 Major Copenhagen 2024 Europe RMR A,2024-02-14,virtus.pro,fnatic,9,-1,W,65.5,24.3
324,PGL CS2 Major Copenhagen 2024 Europe RMR A,2024-02-14,g2,eternal fire,5,8,W,52.0,26.0
325,PGL CS2 Major Copenhagen 2024 Europe RMR A,2024-02-14,3dmax,koi,-1,26,L,52.0,26.0
326,PGL CS2 Major Copenhagen 2024 Europe RMR A,2024-02-14,faze,falcons,1,10,W,55.714285714285715,26.6
327,PGL CS2 Major Copenhagen 2024 Europe RMR A,2024-02-14,betboom,into the breach,30,-1,W,53.0,22.0
328,PGL CS2 Major Copenhagen 2024 Europe RMR A,2024-02-14,saw,9 pandas,17,23,L,70.0,26.1
329,PGL CS2 Major Copenhagen 2024 Europe RMR A,2024-02-14,3dmax,falcons,-1,10,L,70.0,26.1
330,PGL CS2 Major Copenhagen 2024 Europe RMR A,2024-02-14,betboom,fnatic,30,-1,L,53.0,22.0
331,PGL CS2 Major Copenhagen 2024 Europe RMR A,2024-02-14,eternal fire,ninjas in pyjamas,8,-1,W,59.0,26.5
332,PGL CS2 Major Copenhagen 2024 Europe RMR A,2024-02-14,natus vincere,koi,2,26,W,67.66666666666667,23.4
333,PGL CS2 Major Copenhagen 2024 Europe RMR A,2024-02-14,g2,into the breach,5,-1,W,52.0,26.0
334,PGL CS2 Major Copenhagen 2024 Europe RMR A,2024-02-14,virtus.pro,saw,9,17,W,65.5,24.3
335,PGL CS2 Major Copenhagen 2024 Europe RMR A,2024-02-14,faze,9 pandas,1,23,W,55.714285714285715,26.6
336,ESL Challenger League Season 47 South America,2024-02-14,imperial,red canids,19,-1,W,70.66666666666667,24.0
337,ESL Challenger League Season 47 South America,2024-02-14,red canids,imperial,-1,19,W,58.5,0
338,RES Regional Series 1 LATAM,2024-02-14,imperial,solid,19,-1,W,70.66666666666667,24.0
339,ESL Challenger League Season 47 South America,2024-02-13,bestia,mibr,-1,27,W,43.666666666666664,23.9
340,ESL Challenger League Season 47 South America,2024-02-13,mibr,bestia,27,-1,L,64.66666666666667,23.5
341,ESL Challenger League Season 47 South America,2024-02-13,9z,pain,-1,14,W,61.5,22.6
342,ESL Challenger League Season 47 South America,2024-02-13,pain,9z,14,-1,L,69.66666666666667,22.0
343,ESL Challenger League Season 47 South America,2024-02-13,9z,mibr,-1,27,W,61.5,22.6
344,ESL Challenger League Season 47 South America,2024-02-13,mibr,9z,27,-1,L,64.66666666666667,23.5
345,ESL Challenger League Season 47 South America,2024-02-13,pain,bestia,14,-1,L,69.66666666666667,22.0
346,ESL Challenger League Season 47 South America,2024-02-13,bestia,pain,-1,14,W,43.666666666666664,23.9
347,RES Western European Masters Spring 2024 - BLAST Premier Qualifier,2024-02-11,metizport,apeks,29,20,W,51.857142857142854,20.7
348,IEM Katowice 2024,2024-02-11,faze,spirit,1,3,L,55.714285714285715,26.6
349,A1 Gaming League Season 8,2024-02-11,metizport,alliance,29,-1,L,51.857142857142854,20.7
350,RES Western European Masters Spring 2024 - BLAST Premier Qualifier,2024-02-11,3dmax,apeks,-1,20,L,51.857142857142854,20.7
351,RES Western European Masters Spring 2024 - BLAST Premier Qualifier,2024-02-11,sprout,metizport,-1,29,L,51.857142857142854,20.7
352,IEM Katowice 2024,2024-02-10,spirit,falcons,3,10,W,74.16666666666667,21.3
353,RES Western European Masters Spring 2024 - BLAST Premier Qualifier,2024-02-10,metizport,furia,29,15,W,51.857142857142854,20.7
354,IEM Katowice 2024,2024-02-10,mouz,faze,6,1,L,57.5,20.5
355,RES Western European Masters Spring 2024 - BLAST Premier Qualifier,2024-02-10,ex-anonymo,furia,-1,15,L,57.5,20.5
356,RES Western European Masters Spring 2024 - BLAST Premier Qualifier,2024-02-10,apeks,metizport,20,29,W,39.166666666666664,25.7
357,RES Western European Masters Spring 2024 - BLAST Premier Qualifier,2024-02-10,furia,metizport,15,29,L,60.166666666666664,27.1
358,RES Western European Masters Spring 2024 - BLAST Premier Qualifier,2024-02-10,apeks,ex-anonymo,20,-1,W,39.166666666666664,25.7
359,IEM Katowice 2024,2024-02-09,ence,falcons,12,10,L,50.5,25.6
360,IEM Katowice 2024,2024-02-09,faze,g2,1,5,W,55.714285714285715,26.6
361,European Pro League Season 13,2024-02-09,ecstatic,preasy,18,-1,L,63.833333333333336,23.4
362,IEM Chengdu 2024 Europe Closed Qualifier,2024-02-08,betboom,forze,30,-1,L,53.0,22.0
363,IEM Chengdu 2024 Europe Closed Qualifier,2024-02-08,betboom,nemiga,30,-1,L,53.0,22.0
364,YaLLa Compass Spring 2024 Contenders,2024-02-07,sprout,metizport,-1,29,L,53.0,22.0
365,European Pro League Season 13,2024-02-07,ecstatic,tsm,18,-1,W,63.833333333333336,23.4
366,IEM Katowice 2024,2024-02-06,heroic,g2,11,5,L,58.166666666666664,24.2
367,IEM Katowice 2024,2024-02-06,mouz,ence,6,12,W,57.5,20.5
368,IEM Katowice 2024,2024-02-06,falcons,natus vincere,10,2,W,44.166666666666664,28.4
369,IEM Katowice 2024,2024-02-06,spirit,faze,3,1,W,74.16666666666667,21.3
370,European Pro League Season 13,2024-02-06,into the breach,metizport,-1,29,W,74.16666666666667,21.3
371,IEM Katowice 2024,2024-02-06,monte,g2,22,5,L,43.5,21.3
372,IEM Katowice 2024,2024-02-06,heroic,gamerlegion,11,21,W,58.166666666666664,24.2
373,IEM Katowice 2024,2024-02-05,natus vincere,eternal fire,2,8,W,67.66666666666667,23.4
374,IEM Katowice 2024,2024-02-05,complexity,falcons,13,10,L,41.0,24.6
375,IEM Katowice 2024,2024-02-05,g2,ence,5,12,L,52.0,26.0
376,IEM Katowice 2024,2024-02-05,gamerlegion,mouz,21,6,L,33.57142857142857,22.9
377,IEM Katowice 2024,2024-02-05,heroic,vitality,11,4,W,58.166666666666664,24.2
378,IEM Katowice 2024,2024-02-05,monte,cloud9,22,7,W,43.5,21.3
379,European Pro League Season 13,2024-02-05,metizport,tsm,29,-1,L,51.857142857142854,20.7
380,European Pro League Season 13,2024-02-05,preasy,ecstatic,-1,18,L,1,20.6
381,IEM Katowice 2024,2024-02-05,eternal fire,faze,8,1,L,59.0,26.5
382,Ace South American Masters Spring 2024 - BLAST Premier Qualifier,2024-02-05,imperial,9z,19,-1,W,70.66666666666667,24.0
383,A1 Gaming League Season 8,2024-02-04,500,metizport,-1,29,W,45.166666666666664,23.7
384,IEM Katowice 2024,2024-02-04,falcons,rebels,10,-1,W,44.166666666666664,28.4
385,IEM Katowice 2024,2024-02-04,natus vincere,apeks,2,20,W,67.66666666666667,23.4
386,Pelaajat Series Spring 2024,2024-02-04,metizport,tmvg,29,-1,W,51.857142857142854,20.7
387,IEM Katowice 2024,2024-02-04,spirit,complexity,3,13,W,74.16666666666667,21.3
388,RTP Arena Spring Cup 2024 - BLAST Premier Qualifier,2024-02-04,saw,rhyno,17,-1,W,70.0,26.1
389,IEM Katowice 2024,2024-02-04,mouz,cloud9,6,7,W,57.5,20.5
390,IEM Katowice 2024,2024-02-04,monte,gamerlegion,22,21,L,43.5,21.3
391,Pelaajat Series Spring 2024,2024-02-04,metizport,dusty,29,-1,W,51.857142857142854,20.7
392,Ace South American Masters Spring 2024 - BLAST Premier Qualifier,2024-02-04,mibr,imperial,27,19,L,64.66666666666667,23.5
393,IEM Katowice 2024,2024-02-03,vitality,ence,4,12,L,59.0,24.9
394,IEM Katowice 2024,2024-02-03,complexity,apeks,13,20,W,41.0,24.6
395,IEM Katowice 2024,2024-02-03,natus vincere,spirit,2,3,L,67.66666666666667,23.4
396,Pelaajat Series Spring 2024 Nordics Open Qualifier 2,2024-02-03,ecstatic,espionage,18,-1,L,63.833333333333336,23.4
397,IEM Katowice 2024,2024-02-03,faze,rebels,1,-1,W,55.714285714285715,26.6
398,RTP Arena Spring Cup 2024 - BLAST Premier Qualifier,2024-02-03,saw,koi,17,26,W,70.0,26.1
399,IEM Katowice 2024,2024-02-03,g2,heroic,5,11,W,52.0,26.0
400,IEM Katowice 2024,2024-02-03,falcons,eternal fire,10,8,L,44.166666666666664,28.4
401,European Pro League Season 13,2024-02-03,metizport,sangal,29,-1,W,51.857142857142854,20.7
402,Ace South American Masters Spring 2024 - BLAST Premier Qualifier,2024-02-03,imperial,bestia,19,-1,W,70.66666666666667,24.0
403,Ace South American Masters Spring 2024 - BLAST Premier Qualifier,2024-02-03,9z,imperial,-1,19,W,61.5,22.6
404,Ace South American Masters Spring 2024 - BLAST Premier Qualifier,2024-02-03,imperial,bestia,19,-1,W,70.66666666666667,24.0
405,IEM Katowice 2024 Play-in,2024-02-02,big,apeks,-1,20,L,43.0,24.7
406,Pelaajat Series Spring 2024 Nordics Open Qualifier 1,2024-02-02,eyeballers,metizport,-1,29,L,41.0,25.4
407,Pelaajat Series Spring 2024 Nordics Open Qualifier 1,2024-02-02,preasy,metizport,-1,29,L,1,20.6
408,IEM Katowice 2024 Play-in,2024-02-02,themongolz,ence,16,12,L,71.33333333333333,19.6
409,IEM Katowice 2024 Play-in,2024-02-02,virtus.pro,cloud9,9,7,L,65.5,24.3
410,RTP Arena Spring Cup 2024 - BLAST Premier Qualifier,2024-02-02,koi,rhyno,26,-1,W,57.833333333333336,25.7
411,RTP Arena Spring Cup 2024 - BLAST Premier Qualifier,2024-02-02,koi,abt,26,-1,W,57.833333333333336,25.7
412,European Pro League Season 13,2024-02-02,ecstatic,into the breach,18,-1,W,63.833333333333336,23.4
413,Ace South American Masters Spring 2024 - BLAST Premier Qualifier,2024-02-02,pain,w7m,14,-1,L,69.66666666666667,22.0
414,Ace South American Masters Spring 2024 - BLAST Premier Qualifier,2024-02-02,mibr,pain,27,14,W,64.66666666666667,23.5
415,Ace South American Masters Spring 2024 - BLAST Premier Qualifier,2024-02-02,red canids,pain,-1,14,L,58.5,0
416,Ace South American Masters Spring 2024 - BLAST Premier Qualifier,2024-02-01,mibr,w7m,27,-1,W,64.66666666666667,23.5
417,IEM Katowice 2024 Play-in,2024-02-01,apeks,furia,20,15,W,39.166666666666664,25.7
418,IEM Katowice 2024 Play-in,2024-02-01,astralis,ence,25,12,L,60.333333333333336,22.6
419,IEM Katowice 2024 Play-in,2024-02-01,betboom,cloud9,30,7,L,53.0,22.0
420,RTP Arena Spring Cup 2024 - BLAST Premier Qualifier,2024-02-01,al qatrao,saw,-1,17,L,53.0,22.0
421,RTP Arena Spring Cup 2024 - BLAST Premier Qualifier,2024-02-01,agency,saw,-1,17,L,53.0,22.0
422,YaLLa Compass Spring 2024 Contenders,2024-02-01,metizport,sampi,29,-1,W,51.857142857142854,20.7
423,RTP Arena Spring Cup 2024 - BLAST Premier Qualifier,2024-02-01,al qatrao,saw,-1,17,W,51.857142857142854,20.7
424,IEM Katowice 2024 Play-in,2024-02-01,gamerlegion,virtus.pro,21,9,W,33.57142857142857,22.9
425,IEM Katowice 2024 Play-in,2024-02-01,spirit,themongolz,3,16,W,74.16666666666667,21.3
426,IEM Katowice 2024 Play-in,2024-01-31,heroic,big,11,-1,W,58.166666666666664,24.2
427,IEM Katowice 2024 Play-in,2024-01-31,eternal fire,rebels,8,-1,W,59.0,26.5
428,IEM Katowice 2024 Play-in,2024-01-31,rooster,virtus.pro,-1,9,L,42.333333333333336,22.3
429,IEM Katowice 2024 Play-in,2024-01-31,furia,themongolz,15,16,L,60.166666666666664,27.1
430,IEM Katowice 2024 Play-in,2024-01-31,gamerlegion,m80,21,-1,W,33.57142857142857,22.9
431,IEM Katowice 2024 Play-in,2024-01-31,spirit,apeks,3,20,W,74.16666666666667,21.3
432,IEM Katowice 2024 Play-in,2024-01-31,cloud9,rebels,7,-1,L,54.333333333333336,25.4
433,IEM Katowice 2024 Play-in,2024-01-31,ence,big,12,-1,L,50.5,25.6
434,IEM Katowice 2024 Play-in,2024-01-31,eternal fire,betboom,8,30,W,59.0,26.5
435,IEM Katowice 2024 Play-in,2024-01-31,heroic,astralis,11,25,W,58.166666666666664,24.2
436,IEM Chengdu 2024 Europe Open Qualifier 2,2024-01-30,nemiga,9 pandas,-1,23,W,69.5,20.8
437,European Pro League Season 13,2024-01-29,bleed,metizport,-1,29,L,72.28571428571429,23.7
438,BLAST Premier Spring Groups 2024,2024-01-28,g2,liquid,5,-1,W,52.0,26.0
439,ESL Challenger League Season 46 Europe Relegation,2024-01-28,rebels,9 pandas,-1,23,L,52.0,26.0
440,BLAST Premier Spring Groups 2024,2024-01-28,astralis,big,25,-1,W,60.333333333333336,22.6
441,European Pro League Season 13,2024-01-28,ecstatic,sangal,18,-1,W,63.833333333333336,23.4
442,eXTREMESLAND 2023,2024-01-28,lynn vision,themongolz,-1,16,L,50.5,20.6
443,eXTREMESLAND 2023,2024-01-28,themongolz,nkt,16,-1,W,71.33333333333333,19.6
444,BLAST Premier Spring Groups 2024,2024-01-27,virtus.pro,big,9,-1,W,65.5,24.3
445,BLAST Premier Spring Groups 2024,2024-01-27,liquid,faze,-1,1,L,66.16666666666667,25.2
446,BLAST Premier Spring Groups 2024,2024-01-27,natus vincere,g2,2,5,W,67.66666666666667,23.4
447,IEM Chengdu 2024 Asia Closed Qualifier,2024-01-27,themongolz,tyloo,16,-1,L,71.33333333333333,19.6
448,BLAST Premier Spring Groups 2024,2024-01-27,astralis,vitality,25,4,L,60.333333333333336,22.6
449,BLAST Premier Spring Groups 2024,2024-01-26,cloud9,big,7,-1,L,54.333333333333336,25.4
450,BLAST Premier Spring Groups 2024,2024-01-26,gamerlegion,faze,21,1,L,33.57142857142857,22.9
451,BLAST Premier Spring Groups 2024,2024-01-26,g2,ninjas in pyjamas,5,-1,W,52.0,26.0
452,IEM Chengdu 2024 Asia Closed Qualifier,2024-01-26,themongolz,tyloo,16,-1,W,71.33333333333333,19.6
453,BLAST Premier Spring Groups 2024,2024-01-26,vitality,falcons,4,10,W,59.0,24.9
454,IEM Chengdu 2024 Asia Closed Qualifier,2024-01-26,themongolz,the huns,16,-1,W,71.33333333333333,19.6
455,eXTREMESLAND 2023,2024-01-26,tyloo,themongolz,-1,16,L,50.0,0
456,eXTREMESLAND 2023,2024-01-26,themongolz,acme,16,-1,W,71.33333333333333,19.6
457,BLAST Premier Spring Groups 2024,2024-01-25,big,heroic,-1,11,W,43.0,24.7
458,BLAST Premier Spring Groups 2024,2024-01-25,virtus.pro,cloud9,9,7,W,65.5,24.3
459,BLAST Premier Spring Groups 2024,2024-01-25,faze,spirit,1,3,W,55.714285714285715,26.6
460,European Pro League Season 13,2024-01-25,metizport,big academy,29,-1,W,51.857142857142854,20.7
461,BLAST Premier Spring Groups 2024,2024-01-25,gamerlegion,liquid,21,-1,L,33.57142857142857,22.9
462,ESL Pro League Season 19 South America Open Qualifier,2024-01-25,sharks,pain,-1,14,W,52.0,23.0
463,ESL Pro League Season 19 South America Open Qualifier,2024-01-25,9z,imperial,-1,19,L,61.5,22.6
464,BLAST Premier Spring Groups 2024,2024-01-24,cloud9,heroic,7,11,W,54.333333333333336,25.4
465,BLAST Premier Spring Groups 2024,2024-01-24,virtus.pro,big,9,-1,W,65.5,24.3
466,BLAST Premier Spring Groups 2024,2024-01-24,spirit,liquid,3,-1,L,74.16666666666667,21.3
